 105  104   0 2 0 2-2 0-2 0 0 0 0 .00000 .00000 .00000      .00000 .000029  .000000 .000000
 106  105  50 2 0 2-2 0-1 0 0 0 0 .00099 .00099 .00099      .00098 .000977  .000000 .000980
 107  106  51 2 0 2-2 0 0 0 0 0 0 .01368 .01368 .01368 MSF  .01370 .013695  .000004 .013700
 108  107  52 2 0 2-2 0 1 0 0 0 2 .00087 .00087 .00089      .00088 .000879  .000000 .000890
 109  108   0 3 0 2-2 1-1 0 0 0 1 .00000 .00000 .00000      .00000 .000008  .000000 .000000
 110  109   0 2 0 2-2 0 2 0 0 0 0 .00000 .00000 .00000      .00000 .000010  .000000 .000000
 111  110  53 3 0 2-2 1 0 0 0 0-1 .00015 .00015 .00015      .00015 .000148  .000000 .000149
 112  111   0 3 0 2-2 1 1 0 0 0-1 .00000 .00000 .00000      .00000 .000023  .000000 .000024
 113  112  54 2 0 2-2 2 0 0 0 0 2 .00009 .00009 .00009      .00000 .000089  .000000 .000090
 114  113   0 2 0 2-2 2 1 0 0 0 2 .00000 .00000 .00000      .00000 .000036  .000000 .000000
 115  114   0 2 0 2-2 2 2 0 0 0 2 .00000 .00000 .00000      .00000 .000013  .000000 .000000
 116  115  55 2 0 2-1-2 0 1 0 0 0 .00009 .00009 .00009      .00000 .000083  .000000 .000080
 117  116  56 2 0 2-1-1 0 0 0 0 2 .00007 .00007 .00007      .00000 .000074  .000000 .000080
 118  117   0 3 0 2-1-1 0 1 0 0-1 .00000 .00000 .00000      .00000 .000006  .000000 .000000
 119  118   0 2 0 2-1 0-1-1 0 0 2 .00000 .00000 .00000      .00000 .000029  .000000 .000000
 120  119  57 2 0 2-1 0 0-1 0 0 2 .00014 .00014 .00014      .00017 .000151  .000000 .000150
 121  120   0 3 0 2-1 0 0 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000 .000000
 122  121  58 2 0 2-1 0 0 1 0 0 0 .00047 .00047 .00047      .00048 .000474  .000000 .000480
 123  122  59 2 0 2-1 0 1 1 0 0 0 .00009 .00009 .00009      .00012 .000100  .000000 .000100
 124  123  60 2 0 2 0-2-1 0 0 0 2 .00035 .00035 .00035      .00036 .000360  .000000 .000360
 125  124  61 2 0 2 0-2 0 0 0 0 0 .00676 .00676 .00676      .00677 .006767  .000003 .006770
 126  125  62 2 0 2 0-2 1 0 0 0 2 .00045 .00045 .00045      .00044 .000439  .000000 .000440
 127  126   0 3 0 2 0-1-1 0 0 0 1 .00000 .00000 .00000      .00000 .000040  .000000 .000039
 128  127   0 2 0 2 0-1 0-1 0 0 0 .00000 .00000 .00000      .00000 .000015  .000000 .000000
 129  128  63 3 0 2 0-1 0 0 0 0-1 .00076 .00076 .00076      .00076 .000762  .000000 .000762
 130  129  64 3 0 2 0-1 1 0 0 0-1 .00012 .00012 .00012      .00012 .000120  .000000 .000119
 131  130   0 3 0 2 0-1 2 0 0 0 1 .00000 .00000 .00000      .00000 .000009  .000000 .000000
 132  131  65 2 0 2 0 0 0 0 0 0 0 .15651 .15641 .15637 MF   .15642 .156303 -.000165 .156330
 133  132   0 4 0 2 0 0 0 0 0 0 0 .00000 .00000 .00000      .00000 .000086  .000000 .000090
 134    0   0 2 0 2 0 0 0 1 0 0 2 .00000 .00000 .00000      .00000 .000000  .000000 .000040
 135  133  66 2 0 2 0 0 1 0 0 0 0 .06484 .06482 .06482      .06481 .064805 -.000035 .064810
 136  134   0 4 0 2 0 0 1 0 0 0 0 .00000 .00000 .00000      .00000 .000032  .000000 .000035
 137  135  67 2 0 2 0 0 2 0 0 0 0 .00605 .00605 .00605      .00607 .006060  .000001 .006060
 138  136   0 3 0 2 0 1 0 0 0 0 1 .00000 .00000 .00000      .00000 .000021  .000000 .000024
 139  137  68 2 0 2 0 0 3 0 0 0 2 .00012 .00014 .00014      .00013 .000130  .000000 .000120
 140  138   0 3 0 2 0 1 1 0 0 0 1 .00000 .00000 .00000      .00000 .000013  .000000 .000015
 141  139   0 3 0 2 0 1 2 0 0 0 1 .00000 .00000 .00000      .00000 .000006  .000000 .000000
 142  140  69 2 0 2 1-2 0-1 0 0 2 .00007 .00007 .00007      .00000 .000066  .000000 .000060
 143  141   0 3 0 2 1-1 0-1 0 0 1 .00000 .00000 .00000      .00000 .000005  .000000 .000000
 144  142   0 2 0 2 1-1 0 0 0 0 0 .00000 .00000 .00000      .00000 .000024  .000000 .000000
 145  143  70 2 0 2 1 0 0-1 0 0 2 .00054 .00054 .00054      .00054 .000537  .000000 .000540
 146  144  71 2 0 2 1 0 1-1 0 0 2 .00014 .00014 .00014      .00014 .000141  .000000 .000150
 147  145  72 2 0 2 2-2 0 0 0 0 2 .00047 .00047 .00047      .00047 .000469  .000000 .000470
 148  146  73 2 0 2 2-2 1 0 0 0 2 .00019 .00019 .00019      .00019 .000181  .000000 .000190
 149  147   0 2 0 2 2-2 2 0 0 0 2 .00000 .00000 .00000      .00000 .000022  .000000 .000000
 150  148   0 3 0 2 2-1 0 0 0 0 1 .00000 .00000 .00000      .00000 .000005  .000000 .000000
 151  149   0 3 0 2 2-1 1 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000 .000000
 152  150  74 2 0 2 2 0 2 0 0 0 2 .00007 .00007 .00007      .00000 .000068  .000000 .000070
 153  151   0 2 0 2 2 0 3 0 0 0 2 .00000 .00000 .00000      .00000 .000025  .000000 .000000
 154  152   0 2 0 2 3-2 0-1 0 0 2 .00000 .00000 .00000      .00000 .000019  .000000 .000000
 155  153  75 2 0 3-5 1 0 1 0 0 0 .00005 .00005 .00005      .00000 .000046  .000000 .000050
 156  154   0 2 0 3-4 1-1 0 0 0 0 .00000 .00000 .00000      .00000 .000041  .000000 .000000
 157  155  76 2 0 3-4 1 0 0 0 0 0 .00040 .00040 .00040      .00042 .000413  .000000 .000420
 158  156   0 2 0 3-4 1 1 0 0 0 2 .00000 .00000 .00000      .00000 .000030  .000000 .000000
 159  157   0 3 0 3-4 2 0 0 0 0-1 .00000 .00000 .00000      .00000 .000003  .000000 .000000
 160  158  77 2 0 3-3-1 0 1 0 0 0 .00016 .00016 .00016      .00016 .000158  .000000 .000160
 161  159   0 2 0 3-3-1 1 1 0 0 2 .00000 .00000 .00000      .00000 .000012  .000000 .000000
 162  160   0 3 0 3-3 0 0 1 0 0-1 .00000 .00000 .00000      .00000 .000008  .000000 .000000
 163  161  78 2 0 3-3 1 0 1 0 0 0 .00028 .00026 .00026      .00026 .000269  .000000 .000270
 164  162  79 2 0 3-3 1 1 1 0 0 0 .00012 .00009 .00009      .00011 .000105  .000000 .000110
 165  163  80 2 0 3-2-1-1 0 0 0 0 .00021 .00021 .00021      .00022 .000222  .000000 .000230
 166  164  81 2 0 3-2-1 0 0 0 0 0 .00216 .00216 .00216      .00217 .002167  .000000 .002170
 167  165  82 2 0 3-2-1 1 0 0 0 2 .00014 .00014 .00014      .00014 .000140  .000000 .000150
 168  166  83 3 0 3-2 0 0 0 0 0-1 .00012 .00012 .00012      .00013 .000128  .000000 .000128
 169  167   0 3 0 3-2 0 1 0 0 0-1 .00000 .00000 .00000      .00000 .000020  .000000 .000021
 170  168  84 2 0 3-2 1 0 0 0 0 0 .00568 .00568 .00568 MSTM .00569 .005684 -.000006 .005680
 171  169  85 2 0 3-2 1 1 0 0 0 0 .00235 .00235 .00235      .00236 .002356 -.000001 .002350
 172  170  86 2 0 3-2 1 2 0 0 0 0 .00021 .00021 .00021      .00021 .000213  .000000 .000210
 173  171   0 2 0 3-1-3 0 1 0 0 0 .00000 .00000 .00000      .00000 .000010  .000000 .000000
 174  172   0 2 0 3-1-2 0 0 0 0 2 .00000 .00000 .00000      .00000 .000008  .000000 .000000
